index,sentence
6374,minister foreshadows water price rise
6375,mixed response to nsw budget
6376,more funds for silver city highway
6377,more whales spotted off tasmania
6378,motor registry closes doors
6379,mp considers seeking water board probe
6380,mp opposes weakening imparjas hold
6381,mullah omar organising council of resistance
6382,mystery surrounds british deaths in iraq
6383,naked disappointment sparks ad watchdog criticism
6384,nationals accused of selling out on telstra
6385,nelson says no need for education inquiry
6386,new exploration opportunities near gympie
6387,new health family service for cooktown
6388,new magnas roll off the production line
6389,new mayor rules out party politics in election win
6390,new usq vice chancellor ponders challenges
6391,no conspiracy found in png bank sale
6392,nolan painting donated to gallery
6393,nsw introducing laws against killing unborn
6394,nt opposition questions alice sitting costs
6395,nt to celebrate 25 years of self government
6396,nz decriminalises prostitution
6397,ocean release for excess water
6398,offers of aid flood in for tortured backpacker
6399,officials tightlipped on knife scare
6400,pair arrested after home attack
6401,parties reach agreement on asio bill
6402,payments enticed north korea to historic summit council
6403,perth tourism faces tough competition
6404,perus cabinet officially quits
6405,play underway in origin ii
6406,police conduct winter search for autumn glory
6407,police drug powers beefed up
6408,police investigate new attack in sydney
6409,police officers recovering after sydney crash
6410,police to monitor coffin cheaters run
6411,police treating missing angler and son as murder
6412,port authority hopes new mine proceeds
6413,probe launched into fatal car crash
6414,psa fears tafe job losses
6415,public meeting to discuss caravan parks future
6416,pub tax will stifle wests economy mp
6417,rain threatens for origin ii
6418,real clean out for beckham show
6419,real line up fergie deputy queiroz as coach
6420,rebates on water saving devices
6421,rehab programs in disarray opp
6422,revitalised crows wary of blues
6423,ricketson battling flu ahead of origin ii
6424,robinson quits atsic post
6425,row continues over water authority election
6426,rudderless kelme unveil tour de france team
6427,salvos launch winter blanket drive
6428,school closes for crime figures funeral
6429,scud fires on day two
6430,second bank branch for edenhope
6431,security lights planned for queens park
6432,senate approves new powers for asio
6433,senate backs harradine on media bill
6434,senate committee set to release findings
6435,sex offender suspected of 11th attack
6436,shark incident sparks aquaculture concerns
6437,shiite group condemns brits killings
6438,showers forecast for origin ii
6439,shuttle disaster blamed on wing damage
6440,small rates rise for gladstone
6441,south africa ready to reward public smith
6442,south east schools to share in budget funds
6443,st kilda six to return from injury
6444,studies reveal further hrt worries
6445,support for 5m medical indemnity insurance boost
6446,surgeon shortage identified in regions
6447,suspected sars case released
6448,sydney greener than brisbane audit
6449,tasmanias gay adoption debate heats up
6450,tassie woolgrowers to benefit from shortage
6451,teen helped steal 100000 court told
6452,telstra backs upgrade plan
6453,telstra sell off will cost bush labor mp
6454,thwaites expects end to car dispute
6455,thwaites to announce central victorian projects
6456,toronto filmfest to open with cannes winner
6457,tribunal clears swans rookie
6458,troops in iraq to get pay rise
6459,turner remains a croc
6460,us embassy in kenya re opened after terrorist
6461,us faces daunting task on building iraqi economy
6462,us orders revamp of nuclear security
6463,vencill banned for four years after positive test
6464,violence in aboriginal communities tackled
6465,virgin flights a boost to northern tourism
6466,voss possible for lions return
6467,wa police deny failing remote nurses
6468,wenger rules out real move report
6469,whiteley says gay adoption bill undervalues
6470,wimbledon second day results
6471,wimbledon third day programme
6472,windies name uncapped bowler edwards for second
6473,winter low brings good coastal rain
6474,30 drown in sierra leone boat capsize
6475,40 feared dead in indian bus accident
6476,accountant to give evidence to king bros inquiry
6477,actew signals new water infrastructure
6478,act govt out to thump gazumpers
6479,act govt to bring back rental bond loans
6480,action performing well study
6481,adelaide bus drivers hold stop work meeting
6482,all ords plunges after us rates cut
6483,alston says senate put a dagger in media ownership
6484,anderson confident nats will support t3
6485,anderson wont rule out running for atsic deputy
6486,another mass grave uncovered in bosnia
6487,another stepping stone for lindsay
6488,arafat expects middle east cease fire
6489,asagoe shocks hantuchova in marathon encounter
6490,asbestos find sparks wesley mission move
6491,asio bill passes senate
6492,asylum housing site raises new concerns
6493,athletics chiefs iron out doping confusion
6494,auditor general says more needed to improve
6495,aust nz discuss solomons force
6496,baccanello in fine form despite loss
6497,backpacker leaves hospital soon to leave qld
6498,back visa claims with evidence ruddock tells labor
6499,baden takes final stage vinokurov wins tour of
6500,bashir is ji chief key witness tells
6501,big us navy ship heads for townsville
6502,blairs communications chief denies misleading on
6503,bothwell reserves may be worth 250b
6504,bouncer and two others in court after nightclub
6505,boycott threat not just about prize money say
6506,britain lifts nairobi flights ban
6507,brogden attacks carr on tax
6508,brogden to outline stamp duty cuts in budget reply
6509,builders urged to join insurance fight
6510,bush kids eu leaders about altered foods
6511,bush services safe under full telstra
6512,call for employer consideration in refugee visas
6513,call for legislated protection for bush
6514,canberra property prices rising sharply
6515,cancer patients fight for transport subsidy
6516,cancer patient transport subsidies in the spotlight
6517,car firm threatens offshore move
6518,carpenter welcomes nelson education plan
6519,chance for local firms to tender for base contracts
6520,china admits to serious drug problems
6521,china cracks massive counterfeit ring
6522,choi hoping for home win in korea
6523,clijsters ruthless in win over razzano
6524,coetzer out but promises to be back next year
6525,coles credit rating downgraded
6526,colombians urged to step up terrorism fight
6527,conference puts heart disease in the spotlight
6528,cooke review draft report to be released soon
6529,coroner names road crash victim
6530,council considers alcohol ban
6531,council hopes for better town camp dog control
6532,council to help e timor sister city
6533,court of appeal due to deliver fingleton decision
6534,court orders longford gas disaster court costs
6535,czech police stop illegal immigrants at border
6536,dalby punters farewell tab events
6537,decision reserved on jailing of sex offender
6538,dokic could be barred from olympics
6539,educators divided on national schools plan
6540,energy panel interviews stakeholders in darwin
6541,eu farm reforms renew wto negotiations
6542,eu reaches landmark deal on farm policy
6543,european journalists to face trial in laos
6544,exporters to gain from us rate cut costello
6545,fairfax signs deal with ten hutchison
6546,fardon case to test dangerous prisoners act
6547,farmers vote on planned constitution changes
6548,fia tones down tobacco ban
6549,fiji coup conspirators plead for leniency
6550,file traders face prosecution
6551,fingleton conviction upheld sentence halved
6552,flatley herbert keen to impress for reds
6553,former christian minister faces sex charges in
6554,former minister refused bail on sex charges
6555,funds go to cannabis health research
6556,gathering discusses enforcing reef protection
6557,golf club to sell up for resort
6558,gone with the wind bean lovers breathe easy
6559,goosen confirms for french tournament
6560,govt banned bulk billing term oppn says
6561,govt extends detention of teens in asio bill
6562,govt pushes for uniform schooling
6563,graceful venus coasts into third round
6564,guggenheim plan banned in brazil
6565,gunners tell ferguson hands off vieira
6566,haase under fire over telstra stance
6567,heart failure cases tipped to rise
6568,henderson highlights leaked clp minutes
6569,herbert out flatley keen to impress for reds
6570,herbert out for reds fiji clash
6571,hold firm on media laws cherry tells senators
6572,home ownership moves further out of reach
6573,immigration seen as tourism plus
6574,india rejects bid to map road to peace
6575,investigators believe deadly blaze accidental
6576,iranian mps to investigate protest arrests
6577,iraqi scientist hands over nuke parts us
6578,iraq wmd intelligence perplexingly incomplete us
6579,iron bar used in geelong robbery
6580,israel launches fresh gaza air strike
6581,jailed man given extra time for offences
6582,job vacancies still high despite slight fall
6583,johnson wins 100m in switzerland
6584,karlovic downs another aussie in second round
6585,kemp rejects tent embassy heritage application
6586,kennedy to fight high tackle charge
6587,king bros accountant recalls nightmare statements
6588,kiwis to face aussies in under 21 junior world cup
6589,knife on plane may be inside job anderson
6590,leaney swings on without a caddie
6591,locals appointed to heritage building society board
6592,management revamp for mildura council
6593,man dies in workplace accident
6594,man pleads guilty to child sex charge
6595,man refused bail in stabbing case
6596,marathon processing gold coast race entries
6597,marsh looking for hot streak of form
6598,martin knocks out kuerten
6599,mattiace heads field at st jude classic
6600,mayor defends interstate overseas trips
6601,media bill debate to continue despite amendment
6602,megawati willing to extend aceh fight
6603,men may have biological clocks too
6604,middle east truce drafted by militant groups fatah
6605,mp disagrees with size of lake insurance slug
6606,ncoss unhappy with budget regional mental health
6607,nelson playing catch up on education standards
6608,new 14m hospital opens doors
6609,new solar heater expected to save money
6610,nike signs deed of ethics
6611,no one to blame but ourselves bennett
6612,nsw govt to push for changes to sex crime laws
6613,nsw north coast flooding causes school evacuation
6614,nt health issues encephalitis warning
6615,oldest war veteran turns 107
6616,one persons trash is anothers treasure for lifeline
6617,opals go into camp dreaming of olympic success
6618,palestinian teen kills israeli near west bank
6619,parents recovering after children die in highway
6620,parliament gets bill for telstra sale
6621,peruvian president lifts state of emergency
6622,pilchard stocks on the rise
6623,pipeline attacks wont affect iraq oil exports
6624,pirates force fishing boat from aust waters
6625,pit bull owners warned of regulations
6626,police air concerns for missing man
6627,police association not happy with numbers
6628,police present further evidence in torture case
6629,police search for sydney truck hijackers
6630,political row erupts over timber funds
6631,port kennedy foreshore project back on track wa
6632,power boost for east kimberley
6633,probe launched into industrial accident
6634,probe ordered into teacher sex conviction
6635,push on to boost regional migrant numbers
6636,qld govt oppn united against telstra sale
6637,quartermaine gives support to clark
6638,queiroz gets real job
6639,rates slug for maroochy ratepayers
6640,real madrid president shows ruthless streak again
6641,rebels fight close to liberian capital
6642,red cross offers long term help for bali victims
6643,regional mobile coverage a concern in wa brown
6644,repentant rusedski slumps out of slam
6645,report highlights cane support disparity
6646,report highlights concerns in indigenous health
6647,residents disagree over beach erosion plan
6648,revealed how to make the perfect cuppa
6649,robinson seeks source of leak
6650,roddick now 5 2 wimbledon favourite
6651,row over medical indemnity cover consultation
6652,rspca blasts defence dept over roo cull plans
6653,ruddock applies for hold on detention ruling
6654,rusedski to be fined for outburst
6655,sa nats rebel over telstra bill
6656,schultz still rejects full sale of telstra
6657,schumacher could quit if faster rival emerges
6658,search anger triggered uk soldiers deaths residents
6659,senate accepts final asio bill change
6660,ses prepares for further nsw flooding
6661,ses to get training boost
6662,seven dead in iran hercules crash
6663,sex attack victim gives police vital evidence
6664,shires highlight infrastructure needs
6665,simsmetal gets all clear after asbestos scare
6666,smith leads from front as south africa get series
6667,soaking rain welcomed in qld southern inland
6668,solomons aid in national interest pm
6669,solomons businessman warns of violence
6670,solomons police welcome foreign forces
6671,states likely to oppose education plan
6672,stats show tough sentences for high crimes
6673,suspension rules kennedy out for origin iii test
6674,suspension rules kennedy out of origin iii
6675,syria protests to us over iraq border incident
6676,tapes stolen from detectives cabinet commission
6677,tas police resolve dispute with sacked sergeant
6678,tas seeks to keep young mums in school
6679,teachers to fight standardised studies
6680,telstra aims to allay full privatisation fears
6681,telstra sale depends on market howard
6682,tenants to get fairer deal from blacklist databases
6683,ten dead in jordan bridge collapse
6684,thatchers husband dies
6685,thousands flee monrovia fight to the finish
6686,throsby mp part of child custody probe
6687,tick treatment sites to close
6688,tiered seating planned for entertainment centre
6689,top rally teams must field lesser driver fia
6690,tormented pantani makes heartfelt plea for privacy
6691,tortured backpackers family thanks supporters
6692,two motorists killed as plane lands on highway
6693,unamended media bill returns to senate
6694,underworld figures funeral set for monday
6695,union upset over lack of timber compo talks
6696,unlikely fish kill reports overstated
6697,un not up to solomons task downer
6698,us anti doping agency bans swimmer
6699,us awards blair gold medal for iraq support
6700,us eu mend fences at white house
6701,us fed cuts rates to 45 year low
6702,us rates cut a worrying sign alp
6703,us slashes interest rates
6704,wa fuel spill clean up underway
6705,wa govt scraps new tendering policy
6706,wa introduces youth curfew
6707,wall st dips on fed announcement
6708,warning issued over autumn royal vine plantings
6709,water board chief would welcome probe
6710,wimbledon fourth day program
6711,wimbledon third day results
6712,woman in court over stepfathers death
6713,11m salt reduction scheme for murray
6714,4000 arrested during iran protests report
6715,500 cyclists disrupt melbourne traffic
6716,accc offers leniency to cartel turncoats
6717,accused killer to attend victims funeral
6718,act doctors consider insurance offer
6719,act gun buy back due to start
6720,adi considers shipyard future after contract lost
6721,aerial goat culling gets the nod
6722,agassi sets up el aynaoui showdown
6723,aid group calls for interstate prisoner recall
6724,aircraft cabin pressure not to blame for dvt study
6725,alice springs hosts beanie bash
6726,alleged sexism bullying angers female mps
6727,all ords recovers after slide
6728,ambrose fastest in v8 practice
6729,american blake disappoints again
6730,anderson seeks atsic deputy position
6731,animal nursery loses battle over rezoning
6732,antibody find could lead to hiv vaccine study
6733,appeals court overturns java ruling against
6734,austoft fallout continues
6735,bacon challenged over ferry cost
6736,baddeley back on course
6737,bail refused for man on assault charge
6738,bali victim happy with red cross donation plans
6739,bears hit the road for young guns clash
6740,beckham presentation a real media event
6741,big progress in gaza talks
6742,blair putin bury iraq hatchet
6743,bombers crush cats
6744,bomber watson to make debut
6745,border suspect proves pigeon chested
6746,bowen snaps up mud crab farm proposal
6747,broken hill film scouting considered a success
6748,broncos roll roosters
6749,bulldogs upbeat about trading position
6750,call for highway upgrade urgency
6751,camel farmer fears for livestock
6752,cameroon to play cup final despite foes death
6753,canberra raaf base prepares for downgrade
6754,castaway yachtsman rescued off wa coast
6755,cavaliers secure top pick james
6756,chambers looking to find form in oslo
6757,changes afoot for alcohol sales
6758,changes galore as springboks and pumas prepare for
6759,china throws open doors for aussie meat producers
6760,church charity suffering from hollingworth fallout
6761,class action prepared after sluice gates fail
6762,clock counting down for palm is council
6763,commercial concerns about no fishing zones
6764,committee to investigate crime commission
6765,concerns aired over wild fish stocks
6766,concerns voiced about dairy crisis
6767,coronial inquest into double slaying begins
6768,costello puts his faith in charities
6769,council airs air service delay fears
6770,council appoints acting mayor
6771,council approves low cost housing plan
6772,council claims support for boundary change
6773,council considers installing acting general manager
6774,council moving closer to food precinct plan
6775,council puts the bite on dangerous dogs
6776,council to seek water quality assurances
6777,cowboys look to shut down stevens beattie
6778,crows re sign goodwin
6779,dairy farmers threaten supplier change
6780,dokic confident ahead of sharapova match
6781,drivers urged to obey road rules
6782,drought declaration extended
6783,dust a factor in ringer accident police
6784,education dept has no preference on one principal
6785,education office speaks out over behavioural issue
6786,egan rejects nrl tax impost claims
6787,englands failings worry vaughan
6788,eu accused of nudity cover up plan
6789,eu proposal to reform farm subsidies criticised
6790,expert says eu farm overhaul may ease prices
6791,expert to examine skeleton find
6792,factions agreed on cease fire hamas
6793,fast and furious response to donkey drivers
6794,fears medical indemnity woes may hamper regional
6795,festival tipped to boost warrnambool tourism
6796,fighting intensifies in liberia
6797,fingleton given resignation deadline
6798,fingleton likely to resign
6799,fingleton misses resignation deadline
6800,fishing group vows continued gill net court
6801,flooding kills 16 affects 1 million chinese
6802,flowers performance stuns england
6803,former staffer ordered to pay costs to harrison
6804,former us senator thurmond dies aged 100
6805,former wool chief defends spending
6806,four killed in israeli army raid
6807,fuel wholesaler denies tax fraud after record fine
6808,funds for wastewater scheme business plan
6809,funds to target road safety
6810,gas pipeline contracts put out to tender
6811,govt announces new apra team
6812,govt in bid to thwart fish escapes
6813,govt urged to extend rates crown lease deadline
6814,grant aims to help attract back nurses
6815,greens accuse tas govt of secrecy
6816,gulf ship goes to aid of fisherman
6817,gungahlin record land sale collapses
6818,hall faces demolition
6819,harry potter may not survive adolescence rowling
6820,heart foundation welcomes pill trial
6821,heavy storms batter gold coast flood ne nsw
6822,henin hardenne to play molik in third round
6823,henman steals centre stage
6824,hidding reshuffles shadow cabinet
6825,highway group meets deputy pm
6826,historic cattle drive re enactment planned
6827,house of assembly passes same sex adoption laws
6828,hull still opposes telstra sale
6829,hunter valley teens charged with sexual assault
6830,i just called to say i love her
6831,ikin carlaw out of roosters clash
6832,indefinite jail act to get first test
6833,independent arbiter to tackle fmp dispute
6834,independent pushes for cane toad fence
6835,indonesian military arrests journalist in aceh
6836,industrial accident under investigation
6837,inquiry recommends dairy deregulation audit
6838,insurance costs claim tourism railway
6839,israeli soldier killed in gaza raid
6840,italy drops terrorism charges against pakistanis
6841,japanese mp apologises for gang rape comments
6842,jardine touring cap sells for 24k
6843,jones forced to apologise after defamation decision
6844,judge prepared to keep sex offender in jail
6845,katherine airport still viable mayor
6846,kenyas chepchumba given two year doping ban
6847,kfc told to get the cluck out of india
6848,king confident of us fed cup romp over italy
6849,kucera loses health stephens loses housing in
6850,labor refers visa scandal to police
6851,left labor mps unhappy with drug search legislation
6852,liberian rebels declare immediate cease fire
6853,lions welcome back voss
6854,magical heart pill years off doctors say
6855,man charged over yallourn north murder
6856,man loses appeal to publish holocaust denial
6857,man on child sex charges expected to reapply for
6858,mayor defends council mordek inconsistencies
6859,mayor wants inflation to rule rate rises
6860,mcguire sets sights on swans
6861,mckenzie resigns as wallaby selector
6862,meat exports to china no bonanza producers told
6863,mildura expecting busy winter tourism
6864,mobile phone users to be slapped with fine
6865,montgomery determined to lower world record
6866,more doctors leaving toowoomba
6867,more funds may be needed for water supply
6868,more illegal wood cutting in goldfields
6869,mourners attend funeral of underworld figure
6870,mp concerned about possible freight rate hikes
6871,nalbandian bustles through
6872,nasa solar plane crashes off hawaii
6873,new mclaren fails crash test
6874,new partnership expected to boost regional funds
6875,new vice president for dairy group
6876,no need for cash for visa inquiry howard
6877,north sydney bashing victim dies
6878,nsw clubs plan pokie tax fight
6879,olympic athletes win tax exemption
6880,opera returns to romes baths of caracalla
6881,paul grey heenan axed from wallabies squad
6882,pic report disturbing says oppn
6883,pierce happy to be back
6884,pirates interfere with research mission
6885,players not distracted by pay dispute jones
6886,pm to look into customs claim
6887,png considers joining solomons force
6888,police assoc hopes review will boost police numbers
6889,police counting cost of stolen sheep
6890,police describe alleged sex assault as despicable
6891,police quiz children on underworld slayings
6892,police to continue drugs crackdown
6893,pretender announces shadow iraq government
6894,privacy commissioner supports better dna sample
6895,protests continue over mooloolaba harbour woes
6896,public urged to be wary of blue green algae dangers
6897,punters prepare for cold race meeting
6898,push for community input into campus operation
6899,qld casts doubt on fishing blueprint
6900,qld nats issue telstra sale support warning
6901,questions raised over telstra sale service claims
6902,record fines for company tax evasion
6903,researchers say pill could cut heart attack risk
6904,residents clean up after glenelg flooding
6905,residents use foi to access noise studies
6906,row erupts over reef tourism tax
6907,ruddock defends detainee housing consultation
6908,sa govt accused of cover up
6909,sa govt to probe coastal concerns
6910,sa tab defends exclusive internet rights
6911,sa to drop car rego stickers
6912,saudi bomb mastermind surrenders report
6913,school closed for underworld funeral
6914,scientists make whale of a discovery
6915,senators call for removal of anti terror fence
6916,serena subdues fighter callens
6917,sex shop owner blames archaic laws for fine
6918,shire hears wind farm details
6919,snowtown trial shown serial killer poem
6920,sports academy planned for ballarat uni
6921,statute of limitations remains us court rules
6922,straw denies weapons intelligence exaggerated
6923,support for fed govt timber funds stance
6924,swans hoping to power over port
6925,sydney man cleared of act murder charges
6926,tfga chief confident constitution will get up
6927,the big guns fire in round nine
6928,three dead three arrested in west bank violence
6929,three injured in gas blast
6930,thursdays wimbledon results
6931,tissue mill construction team still growing
6932,tradesmans cool nerves win gold for australia
6933,troops would be in solomons for months pm
6934,turkey seizes city dwelling sheep in istanbul
6935,two us soldiers kidnapped in iraq report
6936,ullrich and casero lead bianchis tour bid
6937,un criticism threatens stability
6938,union still fighting for entitlements
6939,university told it wont be worse off under
6940,unprecedented surgery to separate adult twins
6941,us court dismisses appeal for moussaoui access
6942,us court rules gay sex ban in texas is
6943,us soldier killed south of baghdad
6944,us troops comb iraq for missing comrades
6945,vic dairy farmers elected to national group
6946,wallabies dump paul and grey
6947,wall street upbeat
6948,waterfall inquiry hears foot pedal flaw never
6949,water funds boost for drought areas
6950,westralia inquiry hears vital documents mislaid
6951,wholesaler denies tax fraud after record fine
6952,wild weather damages shops in perth
6953,wiser mundine prepares for world title fight
6954,woman found guilty of torturing child
6955,woman who killed husband unfit for trial
6956,12 million to go towards river clean up
6957,3 arrested in us anti terrorism raids official
6958,accc warns drug companies on promotions
6959,acm apologises to threatened detention workers
6960,act doctors examine govt medical indemnity offer
6961,act opp blames auction process for land sale
6962,act police investigate bashing car accident
6963,afghan minister calls for better conditions for
6964,army will punish drug users cosgrove
6965,aspinall calls for vigilance to eliminate abuse
6966,aussie gates chosen to help mcewen at lotto
6967,aussies gatecrash centenary tour
6968,bangladesh floods kill 58 maroon 150000
6969,bangladesh gains the upper hand
6970,bangladesh well placed in queensland
6971,bayliss disappointed with grid position
6972,bbc british govt at odds over iraq intelligence
6973,beware wounded france thorne warns all blacks
6974,blatter set to win 2006 world cup qualifying battle
6975,brisbane anglicans reflect on difficult year
6976,burma must free suu kyi un envoy
6977,cameroons unsung hero
6978,cameroon will play final for foe
6979,china bans tourists from parts of the great wall
6980,china offers post sars feed to stimulate tourism
6981,china opens worlds longest steel arched bridge
6982,cipos tour hopes dashed for good after appeal
6983,city manager keegan leads tributes to foe
6984,clemency bill to encourage kurds to lay down arms
6985,cosgrove welcomes compensation scheme
6986,csa denies mishandling murder suicide threats
6987,cwealth to address low indigenous immunisation
6988,dad to be ullrich pulls out of national
6989,darwin police out in force to stop supercar
6990,davenport coasts past black
6991,dees destroy saints
6992,dees destroy saints port sink swans
6993,dragons down eagles storm blow away tigers
6994,el nino over meteorologists
6995,falling stars allow unheralded lpga lights to shine
6996,fan offers to pay rusedski fine report
6997,farina elia stuns rubin
6998,farmers open museum to preserve fowl past
6999,fassa with petacchi basso and gonzalez for tour de
7000,fitzgibbon out of origin iii
7001,five wicket debutant edwards wrecks sri lanka
7002,flood mop up continues in glenelg
7003,fmp lockout due to end on tuesday
7004,french foreign minister calls for liberian multi
7005,friend turns foe for effervescent clijsters
7006,future of world peace depends on the us bush
7007,glamorgan call on maher
7008,great danes set the pace at french open
7009,hidding leaves libs leadership question open
7010,huston joins johnson for halfway lead in memphis
7011,ill fisherman rescued off wa coast
7012,iran negotiating extradition of senior al qaeda
7013,italian trio handed bans
7014,judges to prowl dirty delhi streets in court
7015,karlovic happy in defeat
7016,king named indian physical trainer
7017,landslides kill 32 in china
7018,large wave warning for north coast nsw
7019,liberians urge us to intervene
7020,lions extend lead over tigers
7021,lions tame tigers pies bash bulldogs
7022,mandela hints he may refuse to meet bush
7023,mandela may snub bush in iraq war protest
7024,man hospitalised after home invasion spear gun
7025,marijuana doesnt permanently harm the brain study
7026,mediators suspend liberia peace talks
7027,mixed reaction over flood funding
7028,new schumi chicane raises ire at nuerburgring
7029,nsw forest bill faces final vote
7030,nsw vows to implement anti corruption
7031,nt police prepare for motorcycle club arrival
7032,olympic committee wins appeal over prize money tax
7033,pakistan to hire australian coach foster for
7034,panis fastest in european gp practice
7035,paradorn sets up roddick clash
7036,people smugglers jailed in netherlands
7037,pittman holds on for oslo win
7038,png solomons to ratify border treaty
7039,police investigate car bicycle accident
7040,police nab new york burglar stuck in chimney
7041,police ponder adelaide stabbing
7042,police raid townsville barracks in search of drugs
7043,police rescue six adrift off nsw north coast
7044,police seek man after attempted abduction at
7045,port power over swans
7046,qld to introduce fitness industry code of practice
7047,raikkonen puts pressure on schumacher
7048,rainman federer chews up fish to reach fourth round
7049,rebels kill six in kashmir police
7050,residents angry over cwa plan
7051,rivkin to undergo surgery today
7052,road map to extend to syria lebanon envoy
7053,roddick and venus breeze through
7054,ronaldinho edging closer to united agent
7055,rusty all blacks edge france
7056,rwanda outlaws race based political parties
7057,sa govt offers emergency grants for flood victims
7058,sars upsurge would have milder impact who
7059,schuettler goes mental
7060,schwarzenegger ponders political career
7061,scrappy win for sandpipers brave loss for orioles
7062,scud molik gear up for day six
7063,sculptor edwards wins poimena award
7064,second mars rover ready for florida launch
7065,seoul second round washed out
7066,sharks edge out cowboys
7067,shoaib gets all clear to skip bangladesh series
7068,simoni to miss italian championships
7069,skaife secures v8 pole
7070,skier maier to lead out tour de france
7071,south pacific games under way in fiji
7072,speed blitz catches eight in tasmania
7073,staff shortage means no weekend births for forbes
7074,stem cells injected into paralysed rats help them
7075,tas nurses blast govt over funding increase
7076,teenagers refused bail on sex charges
7077,telstra denies thousands of jobs to be slashed
7078,ten killed as rebels storm army camp in kashmir
7079,thousands of liberians urge us intervention
7080,thousands of sth korean riot police disperse
7081,thousands sign up for us anti telemarketing list
7082,two fijians get life for coup roles
7083,two missing us soldiers found dead in iraq us
7084,un welcomes agreed israeli withdrawal
7085,us sends team to assess iraq stability
7086,us soldier killed 4 hurt in baghdad attack
7087,us soldier killed four wounded in grenade attack
7088,us south korea agree mission swap troop withdrawal
7089,vacc welcomes petrol excise evasion fine
7090,vaughan undergoes scan
7091,vic police investigate partially burnt body
7092,wimbledon day five results
7093,wimbledon day six programme
7094,15m march in european gay parades
7095,abuse strategy working but stay vigilant aspinall
7096,accc head fels finishes up
7097,actcoss welcomes new prison plan
7098,agassi moves into scud range as russian revolution
7099,ambrose makes it four in a row
7100,anderson denies t3 will cost seats
7101,anthony orders inquiry into csa claims
7102,arthritis medicine listed on pbs
7103,australian west wins dutch 250cc grand prix
7104,balcony collapse kills 12 in chicago
7105,bangers rolled by queensland academy
7106,barca confirm viduka interest
7107,belgians feeling chipper over record bid
7108,blair no longer trusted and should quit poll
7109,bolts to come off saddle at end of season
7110,british mountain bikers sweep world cup downhills
7111,brumbies topple tonga
7112,builders group denies price hike
7113,burma accuses west of stirring unrest
7114,bushs gift list unwrapped
7115,calzaghe defends wbo super middleweight crown
7116,cameroon doctor denies doping in foes death
7117,capriati races on ducks out of fed cup controversy
7118,choi slips from lead as koreans lead seoul charge
7119,collated wimbledon day six results
7120,crows crush blues
7121,crows leap ladder roos slip up
7122,darwin urged to support indigenous music
7123,deal on f1 financial future close mclaren boss
7124,dems warn govt over telstra senate bullying
7125,disease claims 60 lives after indian floods
7126,downer talks safety before solomons intervention
7127,dutch abortion boat cruises with five polish women
7128,england upbeat over vaughan
7129,equal custody laws could lower divorce anthony
7130,farina blasts fifa backflip
7131,farina blasts fifa world cup backflip
7132,ferrero stays on course in style
7133,fifa changes mind on oceania auto qualification
7134,fire destroys building at aspley drive in
7135,first house finished in canberra bushfire rebuild
7136,flatley knocked out as fiji rolls reds
7137,former all blacks captain says haka overused
7138,four to face court following raid on army base
7139,france and cameroon ready for emotional homage to
7140,french yearn for badger glory days
7141,fresh clashes erupt between north afghan factions
7142,gibernau wins rain drenched dutch grand prix motogp
7143,global summit of women kicks off in morocco
7144,govt lauds crime solving technology
7145,govt rejects call to pay flood compensation
7146,hawks down dockers
7147,hawks down dockers eagles edge roos
7148,henin too good for molik
7149,hodgman pledges loyalty to hidding
7150,how a lunch date led to the birth of the tour
7151,im here to win it says sharapova after dumping
7152,iranian mps protest detention of activists
7153,islamic jihad accepted truce to prevent civil war
7154,israeli palestinian security officials to hold
7155,journalists held in laos could face death penalty
7156,kestrels convince against darters phoenix top
7157,knifeman robs melbourne servo
7158,late koen penalty rescues springboks against pumas
7159,let battle commence the first tour in 1903
7160,liberia says in talks on intervention force after
7161,liberia welcomes un support
7162,lucio says roma deal off
7163,man cuts off arm after mining accident
7164,man to face court after wentworthville house fire
7165,maynard jackson funeral held clinton pays tribute
7166,mccartney considers cuba concert report
7167,molotov cocktail damages alice springs shop
7168,mother who claims she lives in car offered rent
7169,mp surprised by national party support for telstra
7170,nalbandian aims to wreck henman dream
7171,nasa hopes weather holds for mars launch
7172,ngos protection gang disbanded officials
7173,no fair play in fifas oceania u turn
7174,nsw opp calls for school damage list
7175,nsw rescue workers warn big waves cause big
7176,nt sets sights on 10pc renewable energy target
7177,obyrne fears telstra will forget regions
7178,omalley poised to strike in france
7179,opp calls for glenelg flood compensation
7180,panthers pip bulldogs knights warriors win
7181,parents citizens call for more act education
7182,police attacked with knife at party
7183,police divers ses search for missing fisherman
7184,police investigate soccer ground death
7185,police investigate two south yarra stabbings
7186,police out in force for first night of curfew
7187,qld transport to investigate waterford derailment
7188,queensland bowl out bangladesh
7189,raikkonen swoops to first f1 pole
7190,rice invites abu mazen to visit washington
7191,rice talks with palestinians israelis about latest
7192,rogge criticises lewis for working with arbeit
7193,rural group worries el ninos end will cause aid to
7194,sa govt urged to subsidise immobilisers
7195,sa to wind back open speed limit
7196,schwab says soccer australia partly to blame
7197,scud last aussie standing at wimbledon
7198,sehwag century lights up leicestershire
7199,soccer bosses slam devastating world cup u turn
7200,soorley denies brisbane flood cover up
7201,spain extradites alleged war criminal from mexico
7202,stanford seizes lpga lead
7203,state doctors threaten strikes over indemnity
7204,suncoast jazz festival gets solid turnout
7205,suspected muslim separatists kill 12 soldiers in
7206,sydney councils complain about lost fines
